Time (Date hh:mm:ss.ms),LEQ dB-A ,Lmax dB-A ,L10 dB-A ,L90 dB-A ,
2025/05/30 12:40:00.000,58.766122 ,78.930365 ,60.717865 ,50.322865 ,
2025/05/30 12:45:00.000,58.194770 ,71.630365 ,62.147865 ,49.907865 ,
2025/05/30 12:50:00.000,56.318202 ,69.230365 ,58.965365 ,50.405365 ,
2025/05/30 12:55:00.000,58.299421 ,71.730365 ,61.876365 ,49.780365 ,
2025/05/30 13:00:00.000,56.965487 ,71.130365 ,60.338865 ,49.223865 ,
2025/05/30 13:05:00.000,55.485934 ,66.230365 ,58.828865 ,49.544865 ,
2025/05/30 13:10:00.000,57.400178 ,74.130365 ,60.544865 ,50.246865 ,
2025/05/30 13:15:00.000,59.662436 ,74.830365 ,62.354865 ,52.816865 ,
2025/05/30 13:20:00.000,57.781554 ,72.630365 ,60.149865 ,51.676865 ,
2025/05/30 13:25:00.000,59.934305 ,76.930365 ,61.620365 ,53.560365 ,
2025/05/30 13:30:00.000,53.692169 ,64.830365 ,56.343365 ,47.859365 ,
2025/05/30 13:35:00.000,57.406605 ,72.330365 ,60.518365 ,48.902365 ,
2025/05/30 13:40:00.000,57.664500 ,71.230365 ,61.110365 ,50.550365 ,
2025/05/30 13:45:00.000,59.074952 ,72.130365 ,63.043865 ,50.593865 ,
2025/05/30 13:50:00.000,56.676243 ,79.430365 ,58.348365 ,48.720365 ,
2025/05/30 13:55:00.000,55.523986 ,70.030365 ,57.786365 ,49.434365 ,
2025/05/30 14:00:00.000,54.966428 ,69.030365 ,57.737865 ,48.182865 ,
2025/05/30 14:05:00.000,55.583689 ,67.830365 ,59.377865 ,47.127865 ,
2025/05/30 14:10:00.000,56.880123 ,70.430365 ,60.418365 ,48.130365 ,
2025/05/30 14:15:00.000,55.435921 ,71.430365 ,57.567365 ,48.789365 ,
2025/05/30 14:20:00.000,56.888269 ,68.630365 ,60.960365 ,49.520365 ,
2025/05/30 14:25:00.000,57.014219 ,70.130365 ,61.686365 ,48.118365 ,
2025/05/30 14:30:00.000,57.489051 ,72.230365 ,60.370365 ,50.898365 ,
2025/05/30 14:35:00.000,57.569618 ,72.130365 ,61.427865 ,49.697865 ,
2025/05/30 14:40:00.000,59.092273 ,75.330365 ,62.016865 ,50.823865 ,
2025/05/30 14:45:00.000,56.396386 ,65.330365 ,59.682365 ,50.530365 ,
2025/05/30 14:50:00.000,57.933856 ,69.530365 ,61.778365 ,50.578365 ,
2025/05/30 14:55:00.000,53.957862 ,66.130365 ,56.542365 ,48.430365 ,
2025/05/30 15:00:00.000,61.076579 ,68.630365 ,65.183865 ,53.246865 ,
2025/05/30 15:05:00.000,64.028989 ,75.630365 ,69.459865 ,48.991865 ,
2025/05/30 15:10:00.000,61.026693 ,72.830365 ,65.791865 ,48.826865 ,
2025/05/30 15:15:00.000,60.519872 ,71.030365 ,64.768865 ,51.950865 ,
2025/05/30 15:20:00.000,64.084148 ,75.430365 ,68.596865 ,50.767865 ,
2025/05/30 15:25:00.000,60.718981 ,75.230365 ,64.428365 ,50.796365 ,
2025/05/30 15:30:00.000,64.107823 ,75.930365 ,68.992365 ,50.512365 ,
2025/05/30 15:35:00.000,62.822515 ,76.430365 ,66.342365 ,49.942365 ,
2025/05/30 15:40:00.000,59.338860 ,77.230365 ,63.340865 ,49.705865 ,
2025/05/30 15:45:00.000,62.712600 ,75.230365 ,68.011865 ,49.069865 ,
2025/05/30 15:50:00.000,57.679316 ,70.230365 ,61.685365 ,47.055365 ,
2025/05/30 15:55:00.000,60.900712 ,73.830365 ,65.310865 ,48.865865 ,
2025/05/30 16:00:00.000,60.605436 ,81.030365 ,64.503365 ,49.971365 ,
2025/05/30 16:05:00.000,62.112269 ,76.630365 ,66.676365 ,49.504365 ,
2025/05/30 16:10:00.000,61.603543 ,75.630365 ,66.341865 ,45.947865 ,
2025/05/30 16:15:00.000,62.776898 ,78.130365 ,66.686865 ,48.503865 ,
2025/05/30 16:20:00.000,60.345777 ,72.430365 ,65.047865 ,48.350865 ,
2025/05/30 16:25:00.000,65.833960 ,80.430365 ,69.975365 ,51.271365 ,
2025/05/30 16:30:00.000,62.490879 ,85.130365 ,66.827365 ,49.315365 ,
2025/05/30 16:35:00.000,59.798265 ,76.830365 ,63.912365 ,48.036365 ,
2025/05/30 16:40:00.000,62.213765 ,81.730365 ,66.635365 ,48.135365 ,
2025/05/30 16:45:00.000,60.694689 ,78.230365 ,64.574365 ,48.734365 ,
2025/05/30 16:50:00.000,62.460702 ,79.830365 ,66.354365 ,49.498365 ,
2025/05/30 16:55:00.000,59.632189 ,75.230365 ,64.030865 ,49.980865 ,
2025/05/30 17:00:00.000,62.142829 ,76.930365 ,67.073365 ,49.937365 ,
2025/05/30 17:05:00.000,61.036747 ,77.030365 ,65.112865 ,50.184865 ,
2025/05/30 17:10:00.000,59.384903 ,80.030365 ,63.514865 ,50.194865 ,
2025/05/30 17:15:00.000,58.316665 ,76.030365 ,62.631865 ,47.736865 ,
2025/05/30 17:20:00.000,58.952815 ,69.530365 ,63.690865 ,49.263865 ,
